244,Talod,16,
245,Surat,16,
246,Jalukie,26,
247,Ahmedabad,16,
248,Sanad,16,
249,Dhandhuka,16,
250,Amreli,16,
251,Rajula,16,
252,Bodeli,16,
253,Bhavnagar,16,
254,Valsad,16,
255,Jamnagar,16,
256,Una,16,
257,Mehsana,16,
258,Kalol,16,
259,Patan,16,
260,Himatnagar,16,
261,S.Mandvi,16,
262,Vyra,16,
263,Vadhvan,16,
264,Lunavada,16,
265,Jasdan,16,
266,Upleta,16,
267,Idar,16,
268,Bayad,16,
269,Modasa,16,
270,Limdi,16,
271,Talalagir,16,
272,Dehgam,16,
273,Palanpur,16,
274,Botad,16,
275,Vijapur,16,
276,Karjan,16,
277,Bilimora,16,
278,Padra,16,
279,Mansa,16,
280,Khedbrahma,16,
281,Dhoraji,16,
282,Kadi,16,
283,Anjar,16,
284,Rapar,16,
285,Mehmadabad,16,
286,Unava,16,
287,Siddhpur,16,
288,Borsad,16,
289,Umreth,16,
290,Alwar,2,
291,Devgadhbaria,16,
292,Jhalod,16,
293,Prantij,16,
294,Dharampur(veg),16,
295,Kapadvanj,16,
296,Becharaji,16,
297,Tharad,16,
298,Dhansura,16,
299,Bhiloda,16,
300,Visavadar,16,
301,Matar,16,
302,Thasara,16,
303,Balasinor,16,
304,Gogamba,16,
305,Mahuva,16,
306,Kosamba,16,
307,Nizar,16,
308,Chotila,16,
309,Thara,16,
310,Bhabhar,16,
311,Panthawada,16,
312,Vansda,16,
313,Babra,16,
314,Palitana,16,
315,Jetpur(Dist.Rajkot),16,
316,Vankaner,16,
317,Jamkandorna,16,
318,Kodinar,16,
319,Manavdar,16,
320,Mangrol,16,
321,Jam Jodhpur,16,
322,Bagasara,16,
323,Savarkundla,16,
324,Dhari,16,
325,Dhrol,16,
326,Kheda,16,
327,Vadgam,16,
328,"Ahmedabad(Fruit Market, Naroda)",16,
329,Ahmedabad(Rajnagar sub yard),16,
330,Ahmedabad(Chimanbhai Patal Market Vasana),16,
331,Dahod(Veg. Market),16,
332,Vadodara(Sayajipura),16,
333,Deesa(Bhildi),16,
334,Botad(Bhabarkot),16,
335,"Anand(Veg,Yard,Anand)",16,
336,Khambhat(Grain Market),16,
337,Khambhat(Veg Yard Khambhat),16,
338,Bodeli(Kalediya),16,
339,Bodeli(Hadod),16,
340,Vyara(Paati),16,
341,Chikli(Khorgam),16,
342,Valsad(Dungari),16,
343,Mansa(Manas Veg Yard),16,
344,Bishalgarh,27,
