250,81,Bilegotu,-
251,12,Cochin,-
252,42,W-5,-
253,18,Tiria,-
254,19,Yellow,-
255,46,Other,-
256,104,Other,-
257,40,MTU-1001,-
258,105,Other,-
259,106,Other,-
260,107,Other,-
261,21,PR-103,-
262,81,Red,-
263,12,Supari,-
264,18,Sarson(Black),-
265,19,Local,-
266,20,MP Sharbati,-
267,12,WH-542,-
268,45,Other,-
269,108,Other,-
270,90,Other,-
271,45,Deshi,-
272,57,Other,-
273,53,other,-
274,109,Other,-
275,110,Other,-
276,60,Other,-
277,14,Hybrid,-
278,21,IR-8,-
279,12,Masuri,-
280,12,Parmal,-
281,111,Other,-
282,61,Other,-
283,12,Lokwan,-
284,64,Other,-
285,59,Other,-
286,3,Other,Medium
287,112,Other,Medium
288,113,Other,Medium
289,56,Other,-
290,12,Gulabi,-
291,11,Other,-
292,16,White Local,-
293,20,Mexican,-
294,114,Medium,Medium
295,16,White (SAFED),-
296,4,Safeda,Small
297,20,147 Average,-
298,12,Chandausi,-
299,110,Cummin Seed(Jeera),-
300,108,Isabgul (Psyllium),-
301,18,Mustard,-
302,90,Sesame,-
303,115,Suva (Dill Seed),-
304,21,Medium,-
305,43,Other,-
306,13,Desi,-
307,109,Coriander Seed,-
308,14,Local,-
309,13,Garlic,-
310,50,Bold,-
311,20,Kalyan,-
312,16,Deshi Red,-
313,90,White,-
314,20,Local,-
315,110,Common,-
316,12,Bold Kernel,-
317,12,M-37,-
318,16,Yellow,-
319,90,Black,-
320,12,Red,-
321,4,Other,Large
322,6,Other,Large
323,20,Lokwan Gujrat,-
324,12,Sechor No. 1,-
325,116,Other,-
326,71,Other,-
327,117,Other,-
328,118,Other,-
329,119,Other,-
330,93,Dry Sup,-
331,73,Fresh Unbleached,-
332,5,Small - I,-
333,8,Shimla,-
334,120,Other,-
335,121,Other,-
336,122,Other,-
337,123,Other,-
338,78,Other,-
339,124,Other,-
340,125,Other,-
341,126,Other,-
342,127,Other,-
343,128,Other,-
344,129,Other,-
345,130,Other,-
346,131,Other,-
347,132,Other,-
348,133,Other,-
349,134,Other,-
350,47,Shanker 6 (B) 30mm FIne,-
351,12,V-797 22mm FIne,-
352,20,Lokwan,-
353,12,Rajasthan Tukdi,-
354,3,Annabesahai,Large
355,75,Other,Large
356,12,Sesame,-
357,50,G20,-
358,114,Other,Large
359,135,Other,-
360,72,Sapota,Medium
361,136,Other,-
362,137,Other,-
363,12,Shanker 6 (B) 30mm FIne,-
364,135,Methi,-
365,132,Onion Green,-
366,138,Raddish,-
367,93,Bold,-
368,49,Other,-
369,139,Other,-
370,9,Arhar Dal(Tur),-
371,138,Other,-
372,47,Shanker 4 31mm FIne,-
373,47,MCU-5 (A) 31mm FIne,-
374,140,Other,-
375,141,Other,-
376,112,Other,Small
377,142,Other,-
378,52,Caster,-
379,47,H.B (Unginned),-
380,143,Other,-
381,144,Other,-
382,47,170-C2 (Ginned),-
383,145,Other,-
384,18,Yellow (Black),-
385,62,Other,Large
386,146,Other,-
387,147,Other,-
388,45,MH-179,-
389,40,Jaya,-
390,20,Dara,-
391,21,Jaya,-
392,12,Kolam-Non Basmati,-
393,74,Gwar,-
394,43,Bold,-
395,20,Rajasthan Tukdi,-
396,16,Deshi White,-
397,40,G. R. 11,-
398,12,G20,-
399,12,Gejje,-
400,12,Lok-1,-
401,20,Farmi,-
402,143,Cowpea (Whole),-
403,12,Groundnut seed,-
404,19,Soyabeen,-
405,12,Gungri (With Shell),-
406,20,Super Fine,-
407,12,Milbar,-
408,70,Groundnut(Split),-
409,12,Bold,-
410,96,Bottle Gourd,-
411,12,Round/Long,-
412,72,Sapota,Large
413,62,Papaya,Medium
414,2,Other,Small
415,114,Other,Small
416,148,Other,Small
417,72,Other,Small
418,3,Other,Small
419,62,Other,Small
420,100,Other,Small
421,113,Other,Small
422,149,Other,-
423,150,Other,-
424,8,Chips,-
425,12,Desi,-
426,12,Jalander,-
427,58,Other,Small
428,151,Other,-
429,152,Other,-
430,43,Ordinary (Split),-
431,42,W-5/TD-5,-
432,90,Whitish,-
433,12,Round,-
434,114,Champa,Medium
435,65,Round/Long,-
436,153,Other,-
437,154,Other,-
438,112,Other,Large
439,148,Other,Medium
440,6,Other,Medium
441,95,Moath (W),-
442,46,Big (Bhopal) (Split),-
443,12,F.A.Q. (Whole),-
444,114,Ordinary Big,Large
445,12,Ordinary Big,Medium
446,12,Ordinary Big,Small
447,73,Dry,-
448,4,Totapuri,Large
449,7,Pine Apple,Large
450,21,Hmt Rice-Non Basmati,-
451,19,Sup,-
452,57,S.W.,-
453,21,Basmati Charmi,-
454,20,MP 147,-
455,12,MP Lokwan,-
456,2,Kasmir/Shimla - II,Large
457,114,Ordinary Big,Medium
458,3,Annabesahai,Medium
459,4,Totapuri,Medium
460,20,2189 No. 2,-
461,2,Golden,Medium
462,93,Other,-
463,12,Jowar ( White),-
464,4,Hapus(Alphaso),Medium
465,12,Totapuri,Medium
466,7,Other,Medium
467,21,Pusa Basmati Raw (New),-
468,12,Pusa Basmati Raw (Old),-
469,12,Pusa Basmati Sela (Old),-
470,20,Bansi,-
471,21,Basmati Golden Sela Old,-
472,134,Local,-
473,12,Deshi,-
474,2,Other,Large
475,7,Other,Large
